label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
2	-1048 m^2	0.437	rat	Electrical Engineering	1.8208	basketball	566 mph	-2281	2026 m/(s^2)	Eriq
9	46 m^2	1.8076	dog	Technology and Information Management	0.1529	baseball	-479 mph	730	298 m/(s^2)	Michael
6	1862 m^2	-0.7098	fish	Robotics Engineering	2.4557	running	-299 mph	1306	-1297 m/(s^2)	Vani
2	-1013 m^2	0.3349	rat	Electrical Engineering	2.1678	basketball	557 mph	228	152 m/(s^2)	Eriq
5	1570 m^2	0.5762	reptile	Data Science	-0.3414	volleyball	104 mph	1692	775 m/(s^2)	Andrew
1	1658 m^2	-0.6576	rabbit	Computer Game Design	0.3731	baseball	1543 mph	-348	406 m/(s^2)	Inan
6	-270 m^2	-0.7933	rat	Robotics Engineering	0.0415	running	1198 mph	1568	-331 m/(s^2)	vani
1	1167 m^2	1.3502	rabbit	Computer Game Design	2.2756	baseball	1687 mph	-82	518 m/(s^2)	Inan
0	989 m^2	0.2109	hamster	Applied Mathematics	0.815	badminton	1955 mph	716	677 m/(s^2)	Sam
3	202 m^2	2.0403	bird	Computational Media	0.8107	track & field	51 mph	229	2437 m/(s^2)	Tony
9	1974 m^2	0.8653	dog	Computer Science	-1.0645	golf	40 mph	102	655 m/(s^2)	Michael
3	-1276 m^2	0.6703	bird	Computational Media	0.0474	tennis	421 mph	1312	559 m/(s^2)	Tony
7	1021 m^2	-0.777	cat	Games and Playable Media	0.5645	running	939 mph	1930	11 m/(s^2)	Lise
8	502 m^2	-0.3388	pig	Bioinformatics	1.1946	motor sports	1085 mph	116	261 m/(s^2)	Chris
1	1732 m^2	0.4672	bird	Computer Game Design	0.6122	volleyball	-396 mph	1025	3104 m/(s^2)	Andrew
3	2267 m^2	2.0112	bird	COMPUTATIONAL MEDIA	0.2047	track & field	-261 mph	368	-677 m/(s^2)	Tony
1	-567 m^2	-0.3959	rabbit	Computer Game Design	1.5835	baseball	1766 mph	1411	1981 m/(s^2)	Inan
4	-137 m^2	0.5107	guinea pig	Natural Language Processing	1.5331	badminton	1388 mph	-354	-1106 m/(s^2)	Fabrice
6	-1065 m^2	0.1451	fish	Robotics Engineering	1.9013	football	319 mph	1148	-1042 m/(s^2)	Vani
3	-224 m^2	-0.6	bird	Computational Media	0.8858	track & field	735 mph	-693	985 m/(s^2)	Tony
0	-985 m^2	1.599	rabbit	Applied Mathematics	0.8389	boxing	1157 mph	-94	-277 m/(s^2)	Sam
0	183 m^2	-0.9852	hamster	Applied Mathematics	0.3398	boxing	-341 mph	-1431	1955 m/(s^2)	Sam
3	n/a	2.5305	bird	Computational Media	-0.0574	tennis	20 mph	750	403 m/(s^2)	Tony
4	-1233 m^2	-0.4529	guinea pig	Natural Language Processing	-0.0409	badminton	320 mph	1044	-326 m/(s^2)	Fabrice
9	-559 m^2	1.3907	dog	Computer Engineering, Technology and Information Management	-0.6286	golf	-361 mph	837	790 m/(s^2)	Michael
6	-1306 m^2	1.0059	ferret	Bioinformatics	1.1115	running	220 mph	913	1212 m/(s^2)	Vani
8	-844 m^2	0.6493	pig	Bioinformatics	1.052	motor sports	2415 mph	654	1696 m/(s^2)	Tony
5	1042 m^2	-0.2053	reptile	Biotechnology	-0.2894	volleyball	292 mph	1859	-1838 m/(s^2)	Michael
7	42 m^2	-0.1172	cat	Games And Playable Media	-0.367	soccer	929 mph	-131	969 m/(s^2)	Lise
1	797 m^2	1.5512	guinea pig	Computer Game Design	0.1724	ice hockey	1076 mph	760	1244 m/(s^2)	Inan
1	727 m^2	2.1039	rabbit	Computer Game Design	0.0614	ice hockey	1413 mph	233	1107 m/(s^2)	Inan
8	278 m^2	0.4845	pig	Statistics	0.4666	ice hockey	532 mph	637	1033 m/(s^2)	Chris
0	485 m^2	-1.8262	rat	Applied Mathematics	-0.2049	boxing	606 mph	631	168 m/(s^2)	Inan
0	-955 m^2	3.1899	hamster	Applied Mathematics	1.1248	boxing	-511 mph	49	96 m/(s^2)	Fabrice
3	-50 m^2	1.367	bird	Computational Media	-0.6301	tennis	-664 mph	-1138	-699 m/(s^2)	Reilly
9	1766 m^2	1.3406	dog	Computer Engineering, Computer Science	-1.1241	GOLF	1536 mph	624	102 m/(s^2)	Michael
4	-17 m^2	-1.1511	GUINEA PIG	Natural Language Processing	1.2426	badminton	179 mph	236	695 m/(s^2)	Fabrice
5	2342 m^2	1.2322	ferret	Data Science	0.4498	volleyball	614 mph	9	-971 m/(s^2)	Andrew
2	342 m^2	0.1208	RAT	Electrical Engineering, Human Computer Interaction	0.3264	basketball	701 mph	97	1276 m/(s^2)	Eriq
5	506 m^2	0.6459	cat	Biotechnology	1.5102	volleyball	862 mph		398 m/(s^2)	Fabrice
2	-552 m^2	-0.396	rat	Bioengineering, Human Computer Interaction	2.2663	basketball	1622 mph	-1138	2286 m/(s^2)	Eriq
4	430 m^2	2.1293	guinea pig	Natural Language Processing	0.9078	badminton	601 mph	-663	-324 m/(s^2)	Fabrice
2	96 m^2	0.543	rat	Electrical Engineering, Bioengineering	1.5841	motor sports	371 mph	-744	1536 m/(s^2)	Eriq
2	-89 m^2	1.3094	rat	Human Computer Interaction, Electrical Engineering	-0.7791	basketball	451 mph	957	369 m/(s^2)	Eriq
2	442 m^2	-0.4676	rat	Human Computer Interaction, Bioengineering	0.4231	basketball	637 mph	38	146 m/(s^2)	Eriq
6	545 m^2	0.9941	fish	Robotics Engineering	1.7163	football	484 mph	391	-172 m/(s^2)	Vani
3	365 m^2	0.4605	bird	Computational Media	0.4949	track & field	803 mph	2400	-1128 m/(s^2)	Tony
9	-881 m^2	0.9211	chicken	Computer Engineering	-0.7083	golf	2182 mph	494	1415 m/(s^2)	Michael
8	-193 m^2	1.1981	pig	Robotics Engineering	0.1898	motor sports	606 mph	-357	2452 m/(s^2)	Chris
6	-73 m^2	-0.459	fish	Computational Media	1.3722	football	648 mph	1176	89 m/(s^2)	Vani
0	471 m^2	2.6185	hamster	Applied Mathematics	0.2483	boxing	312 mph	1031	1715 m/(s^2)	Sam
8	898 m^2	1.2345	pig	Statistics	0.4286	motor sports	1186 mph	399	972 m/(s^2)	Chris
7	988 m^2	1.4102	cat	Games and Playable Media	-0.7092	soccer	777 mph	1636	583 m/(s^2)	Fabrice
7	-225 m^2	0.5688	cat	Games and Playable Media	1.6949	soccer	216 mph	807	824 m/(s^2)	Lise
9	-1028 m^2	1.3961	dog	Computer Science	0.4301	golf	650 mph	-381	89 m/(s^2)	Michael
3	384 m^2	0.1222	bird	Computational Media	1.4394	TRACK & FIELD	-555 mph	547	1117 m/(s^2)	Fabrice
2	-7 m^2	0.7511	rat	Bioengineering, Electrical Engineering	1.1468	basketball	984 mph	1823	2026 m/(s^2)	Eriq
5	698 m^2	-0.013	reptile	Biotechnology	-0.1559	VOLLEYBALL	531 mph	1159	-1221 m/(s^2)	Andrew
6	-373 m^2	0.38	fish	Robotics Engineering	2.7304	football	674 mph	179	-676 m/(s^2)	Vani
7	-121 m^2	1.4208	cat	Games and Playable Media	1.7076	soccer	-317 mph	1855	1226 m/(s^2)	Sam
8	370 m^2	1.7467	pig	Bioinformatics	1.0385	motor sports	-89 mph	880	-724 m/(s^2)	Chris
1	-1252 m^2	0.4879	rabbit	Computer Game Design	2.6726	baseball	-570 mph	-1048	1193 m/(s^2)	Inan
9	165 m^2	0.5968	chicken	Computer Science, Computer Engineering	0.7454	golf	884 mph	382	206 m/(s^2)	Michael
8	334 m^2	-0.1874	pig	Statistics	-0.1854	motor sports	1037 mph	1461	-52 m/(s^2)	Chris
3	63 m^2	NULL	bird	Computational Media	-1.11	track & field	188 mph	611	809 m/(s^2)	Lise
5	1543 m^2	1.8658	reptile	Data Science	-2.0897	volleyball	-382 mph	-732	18 m/(s^2)	Andrew
9	-1719 m^2	1.8889	chicken	Computer Engineering	0.2868	golf	874 mph	896	390 m/(s^2)	Michael
6	226 m^2	1.3188	fish	Robotics Engineering	0.801	running	1837 mph	986	-1285 m/(s^2)	Vani
2	-17 m^2	-0.9116	rat	Bioengineering	1.7902	basketball	645 mph	9	-719 m/(s^2)	Eriq
6	-1415 m^2	0.3882	fish	Robotics Engineering	0.4588	football	-212 mph	265	-902 m/(s^2)	VANI
2	-941 m^2	0.5254	rat	Bioinformatics	1.4806	basketball	350 mph	1405	1641 m/(s^2)	Eriq
6	153 m^2	0.7539	fish	Robotics Engineering	0.4243	ice hockey	786 mph	1286	NULL	Vani
7	179 m^2	0.3382	cat	Games and Playable Media	0.0959	soccer	1077 mph	397	-471 m/(s^2)	Chris
7	-642 m^2	0.9623	cat	Games and Playable Media	1.26	soccer	1223 mph	179	442 m/(s^2)	Lise
8	198 m^2	-0.1538	pig	Statistics	0.9172	baseball	945 mph	592	215 m/(s^2)	Chris
3	-877 m^2	0.7564	bird	Computational Media	0.3628	track & field	-1536 mph	1696	899 m/(s^2)	Andrew
7	1150 m^2	1.8116	cat	Games and Playable Media	0.6773	soccer	984 mph	249	766 m/(s^2)	lise
7	3236 m^2	-0.2398	cat	Games and Playable Media	2.0536	soccer	1705 mph	444	-419 m/(s^2)	Lise
6	678 m^2	0.5013	fish	Robotics Engineering	1.2437	football	979 mph	-359	-1626 m/(s^2)	Vani
2	-93 m^2	2.0388	rat	Human Computer Interaction, Electrical Engineering	1.7746	basketball	735 mph	700	884 m/(s^2)	Eriq
5	-309 m^2	1.7597	ferret	Biotechnology	0.7554	volleyball	31 mph	1454	-775 m/(s^2)	Andrew
2	336 m^2	0.5055	rat	Electrical Engineering	0.6994	basketball	-11 mph	793	297 m/(s^2)	Eriq
9	-206 m^2	0.7721	chicken	Computer Science, Technology and Information Management	-2.1226	golf	2647 mph	-644	-30 m/(s^2)	Michael
3	1568 m^2	3.0717	bird	Computational Media	-0.6053	TRACK & FIELD	-94 mph	409	120 m/(s^2)	Tony
8	1486 m^2	0.3564	pig	Statistics	0.5234	motor sports	1010 mph	-565	542 m/(s^2)	Chris
9	294 m^2	-0.3503	chicken	Computer Science, Computer Engineering	0.3954	soccer	158 mph	-278	1068 m/(s^2)	Lise
3	-26 m^2	0.2572	bird	Computational Media	0.4293	track & field	827 mph	1231	950 m/(s^2)	Tony
6	191 m^2	0.9996	fish	Robotics Engineering	1.9422	football	-195 mph	-116	-536 m/(s^2)	Vani
5	586 m^2	1.3981	reptile	Biotechnology	-0.0209	volleyball	450 mph	1649	-550 m/(s^2)	Andrew
1	1391 m^2	0.7862	pig	Computer Game Design	1.0663	baseball	1085 mph	-1974	741 m/(s^2)	Inan
3	718 m^2	0.3655	bird	Computational Media	0.3848	tennis	360 mph	2023	1047 m/(s^2)	Reilly
8	341 m^2	1.0819	pig	Bioinformatics	2.0905	motor sports	497 mph	1451	444 m/(s^2)	Chris
3	-421 m^2	-0.3345	bird	Computational Media	0.0375	tennis	613 mph	124	-89 m/(s^2)	Tony
2	230 m^2	-0.4222	rat	Human Computer Interaction, Electrical Engineering	0.739	basketball	495 mph	238	1681 m/(s^2)	Eriq
0	439 m^2	1.3046	fish	Applied Mathematics	1.228	boxing	1024 mph	-339	344 m/(s^2)	Sam
8	1075 m^2	-0.1968	pig	Bioinformatics	0.7313	basketball	1315 mph	1845	2150 m/(s^2)	Chris
6	161 m^2	0.265	fish	Robotics Engineering	-0.0377	football	466 mph	114	?	Vani
9	-51 m^2	1.1912	chicken	Computer Engineering	-1.825	golf	2105 mph	2553	-1411 m/(s^2)	Michael
9	-53 m^2	1.1173	n/a	computer science, technology and information management	-0.7223	golf	1464 mph	-43	-545 m/(s^2)	Michael
6	84 m^2	-0.3672	fish	Robotics Engineering	0.4487	running	1015 mph	-22	-461 m/(s^2)	Vani
1	1030 m^2	0.9865	rabbit	Computer Game Design	-0.2637	baseball	240 mph	1717	20 m/(s^2)	Inan
5	-321 m^2	-0.2854	pig	dATA sCIENCE	0.3496	volleyball	1262 mph	-226	2179 m/(s^2)	Andrew
6	1248 m^2	-0.0232	fish	Robotics Engineering	0.9666	running	1842 mph	67	-525 m/(s^2)	Vani
7	841 m^2	-2.2742	cat	Games and Playable Media	2.1652	golf	260 mph	114	1393 m/(s^2)	Lise
3	-1355 m^2	-0.0984	bird	Computational Media	0.4783	tennis	-582 mph	852	1299 m/(s^2)	Inan
3	390 m^2	2.334	bird	Computational Media	2.171	tennis	1408 mph	292	1338 m/(s^2)	Tony
5	1116 m^2	-0.287	ferret	Data Science	0.5784	volleyball	648 mph	1737	593 m/(s^2)	aNDREW
1	1156 m^2	1.6908	rabbit	Computer Game Design	0.44	ice hockey	971 mph	717	-376 m/(s^2)	Fabrice
0	641 m^2	0.6722	hamster	Applied Mathematics	1.0857	boxing	1192 mph	-873	557 m/(s^2)	Sam
4	1097 m^2	-0.4976	guinea pig	Natural Language Processing	0.0448	basketball	1020 mph	160	348 m/(s^2)	Fabrice
5	1399 m^2	1.4953	reptile	Data Science	-0.8581	volleyball	1069 mph	-988	50 m/(s^2)	Andrew
5	820 m^2	1.5788	ferret	Applied Mathematics	0.4283	volleyball	1061 mph	-569	1704 m/(s^2)	Andrew
4	901 m^2	0.4718	guinea pig	Natural Language Processing	0.2787	soccer	93 mph	-67	648 m/(s^2)	Fabrice
6	-552 m^2	-0.7694	fish	ROBOTICS ENGINEERING	-0.1185	running	1772 mph	177	-22 m/(s^2)	Vani
4	1905 m^2	1.137	guinea pig	Natural Language Processing	0.0751	badminton		-70	-1121 m/(s^2)	Fabrice
5	969 m^2	0.5152	reptile	Biotechnology	0.0263	volleyball	N/A	412	1102 m/(s^2)	Andrew
8	1736 m^2	0.3073	pig	Bioinformatics	1.1525	motor sports	563 mph	-880	-1528 m/(s^2)	Chris
3	824 m^2	0.7603	bird	Computational Media	0.4136	track & field	615 mph	-1596	902 m/(s^2)	Tony
9	531 m^2	-1.2709	dog	technology and information management, computer engineering	-0.4466	track & field	561 mph	31	-1817 m/(s^2)	Michael
2	245 m^2	2.0352	rat	Bioengineering	0.0402	basketball	894 mph	-183	-196 m/(s^2)	Eriq
4	13 m^2	-0.3033	guinea pig	Natural Language Processing	0.8753	volleyball	485 mph	-570	-849 m/(s^2)	Fabrice
2	571 m^2	-1.4928	rat	Electrical Engineering	0.997	basketball	287 mph	534	2677 m/(s^2)	Eriq
7	354 m^2	0.8085	cat	Games and Playable Media	0.2362	soccer	1641 mph	1497	-147 m/(s^2)	Lise
7	1152 m^2	0.0422	cat	Games and Playable Media	2.1095	soccer	277 mph	1548	1148 m/(s^2)	Lise
9	-280 m^2	0.441	dog	Computer Engineering	-0.5928	Golf	476 mph	-55	436 m/(s^2)	Michael
7	1832 m^2	1.2506	cat	Games and Playable Media	2.9094	soccer	48 mph	971	536 m/(s^2)	Lise
4	332 m^2	2.0018	guinea pig	Natural Language Processing	1.5122	badminton	1247 mph	1509	-2039 m/(s^2)	Fabrice
9	921 m^2	0.8296	chicken	Technology and Information Management, Computer Science	-0.6277	golf	1486 mph	426	-856 m/(s^2)	Michael
9	427 m^2	0.8635	hamster	Technology and Information Management, Computer Science	0.1162	golf	-345 mph	-1080	96 m/(s^2)	Michael
9	-371 m^2	0.702	chicken	Computer Engineering, Computer Science	-0.1312	golf	1847 mph	-224	1011 m/(s^2)	
5	159 m^2	-0.8821	guinea pig	Biotechnology	0.1219	volleyball	-80 mph	-839	609 m/(s^2)	Andrew
5	187 m^2	0.4218	reptile	Biotechnology	-0.9215	volleyball	257 mph	-431	-2011 m/(s^2)	Andrew
0	654 m^2	0.1894	hamster	Applied Mathematics	3.0832	boxing	930 mph	1357	-160 m/(s^2)	Sam
6	193 m^2	2.4106	fish	Robotics Engineering	1.7646	running	1287 mph	131	1216 m/(s^2)	Vani
6	4 m^2	1.3869	fish	Robotics Engineering	0.2366	football	1470 mph	987	826 m/(s^2)	Vani
8	204 m^2	-1.5487	guinea pig	Bioinformatics	0.0881	basketball	573 mph	-1566	-1170 m/(s^2)	Chris
4	704 m^2	0.2708	guinea pig	Natural Language Processing	-2.0325	badminton	-367 mph	1507	-662 m/(s^2)	Vani
7	1674 m^2	-0.5465	cat	Games and Playable Media	-0.2511	soccer	-20 mph	444	398 m/(s^2)	Lise
0	1236 m^2	-0.137	hamster	Applied Mathematics	0.9227	boxing	654 mph	880	1910 m/(s^2)	Sam
6	-743 m^2	0.2416	fish	Robotics Engineering	0.1858	football	2600 mph	2114	1054 m/(s^2)	Vani
8	161 m^2	-0.1309	fish	Bioinformatics	0.0496	motor sports	307 mph	-944	465 m/(s^2)	Chris
7	857 m^2	1.8471	cat	Games and Playable Media	0.6032	soccer	478 mph	126	1639 m/(s^2)	Lise
7	598 m^2	1.4526	cat	Games and Playable Media	1.0443	soccer	1460 mph	-230	1241 m/(s^2)	Lise
8	654 m^2	1.6454	pig	Bioinformatics	-0.0799	motor sports	1408 mph	-2649	-55 m/(s^2)	Chris
9	-548 m^2	2.0815	chicken	Technology and Information Management	0.4908	golf	1031 mph	597	904 m/(s^2)	Michael
8	230 m^2	0.0583	pig	Bioinformatics	0.4632	motor sports	271 mph	-423	656 m/(s^2)	Chris
3	1189 m^2	3.303	bird	Computational Media	0.292	tennis	817 mph	630	1315 m/(s^2)	Reilly
5	1122 m^2	1.3175	pig	Data Science	0.6854	volleyball	564 mph	82	-392 m/(s^2)	Andrew
2	1476 m^2	1.5147	rat	Human Computer Interaction	1.1725	basketball	1150 mph	1075	1106 m/(s^2)	Eriq
9	-215 m^2	0.5468	dog	Computer Engineering, Computer Science	0.931	golf	2218 mph	1849	-310 m/(s^2)	Michael
8	1042 m^2	-0.6809	pig	Bioinformatics	-0.3418	motor sports	300 mph	469	-1271 m/(s^2)	Andrew
2	806 m^2	1.8702	cat	Bioengineering, Human Computer Interaction	0.5029	basketball	1056 mph	1327	-1136 m/(s^2)	Eriq
4	1115 m^2	0.4569	guinea pig	Natural Language Processing	2.3037	badminton	750 mph	1419	1514 m/(s^2)	Fabrice
5	905 m^2	0.0785	ferret	Biotechnology	-0.5807	volleyball	784 mph	1077	1859 m/(s^2)	Andrew
1	621 m^2	0.7521	rabbit	Computer Game Design	-0.0713	Ice Hockey	819 mph	889	-496 m/(s^2)	Inan
2	-637 m^2	0.5837	rat	Bioengineering	0.6849	BASKETBALL	149 mph	327	2309 m/(s^2)	Eriq
8	1818 m^2	0.7138	pig	Bioinformatics	-1.5244	motor sports	1770 mph	1607	685 m/(s^2)	Chris
8	2273 m^2	2.0586	pig	Statistics	1.2394	motor sports	777 mph	369	1379 m/(s^2)	Chris
7	2062 m^2	-1.6661	reptile	Games and Playable Media	0.4278	soccer	284 mph	986	-297 m/(s^2)	Lise
6	-670 m^2	-0.6506	fish	Robotics Engineering	0.9568	running	1230 mph	20	-152 m/(s^2)	Vani
1	712 m^2	2.0956	rabbit	Computer Game Design	-0.987	ice hockey	-157 mph	-824	1348 m/(s^2)	Inan
2	-684 m^2	0.4785	rat	Electrical Engineering, Bioengineering	0.6667	basketball	588 mph	-124	1350 m/(s^2)	Eriq
0	-479 m^2	0.461	hamster	Applied Mathematics	1.4128	boxing	1563 mph	988	None	Michael
0	-33 m^2	-1.0634	hamster	Applied Mathematics	1.1863	boxing	577 mph	104	519 m/(s^2)	Sam
5	-256 m^2	0.484	ferret	Biotechnology	1.4051	volleyball	-401 mph	-540	310 m/(s^2)	Andrew
4	87 m^2	1.0359	guinea pig	Natural Language Processing	0.7593	badminton	-791 mph	954	-596 m/(s^2)	Fabrice
3	453 m^2	0.1523	bird	Computational Media	1.9208	track & field	1534 mph	2851	None	Reilly
7	18 m^2	0.5444	cat	Games and Playable Media	-0.6667	soccer	1025 mph	2538	-1618 m/(s^2)	Lise
8	108 m^2	1.6573	pig	bIOINFORMATICS	1.2042	motor sports	472 mph	-1050	-96 m/(s^2)	Chris
5	730 m^2	N/A	ferret	Data Science	-0.0562	volleyball	667 mph	-57	-963 m/(s^2)	Chris
0	351 m^2	1.1084	hamster	Applied Mathematics	2.3066	boxing	1082 mph	1015	-2391 m/(s^2)	Sam
9	445 m^2	1.2458	chicken	Technology and Information Management, Computer Engineering	0.4847	golf	315 mph	-1062	-375 m/(s^2)	Michael
8	982 m^2	1.3469	pig	STATISTICS	0.9926	motor sports	653 mph	-112	-509 m/(s^2)	Chris
2	942 m^2	0.0506	fish	Electrical Engineering, Bioengineering	0.9745	basketball	-272 mph	1307	-826 m/(s^2)	Eriq
1	822 m^2	1.581	rabbit	Computer Game Design	1.2177	ice hockey	1803 mph	842	318 m/(s^2)	Inan
6	581 m^2	1.6614	fish	Robotics Engineering	-0.7567	running	1774 mph	-244	-713 m/(s^2)	Michael
5	-452 m^2	0.28	reptile	Data Science	0.2661	volleyball	-312 mph	1189	644 m/(s^2)	Andrew
3	-1351 m^2	0.2495	bird	Computational Media	0.8738	tennis	138 mph	517	1169 m/(s^2)	Chris
0	251 m^2	-1.0914	hamster	Applied Mathematics	1.0325	motor sports	-92 mph	660	-2051 m/(s^2)	Sam
7	-86 m^2	1.455	hamster	Games and Playable Media	1.067	soccer	89 mph	131	1938 m/(s^2)	Lise
9	-562 m^2	0.3549	chicken	Technology and Information Management	0.3147	golf	1932 mph	1380	959 m/(s^2)	Michael
6	76 m^2	0.3701	fish	Robotics Engineering	0.9284	football	2277 mph	187	925 m/(s^2)	Vani
2		-0.4605	rat	Human Computer Interaction	2.2247	basketball	959 mph	130	-117 m/(s^2)	Eriq
8	1328 m^2	1.4234	pig	Statistics	-0.2825	motor sports	1879 mph	641	686 m/(s^2)	Chris
7	967 m^2	0.7055	rat	Games and Playable Media	0.7019	soccer	993 mph	76	964 m/(s^2)	Lise
8	1264 m^2	-0.537	pig	Statistics	-0.1857	motor sports	596 mph	37	922 m/(s^2)	Chris
1	322 m^2	0.8099	rabbit	Computer Game Design	2.3351	baseball	-234 mph	1257	-556 m/(s^2)	Inan
9	133 m^2	0.9739	chicken	Technology and Information Management, Computer Science	0.221	golf	962 mph	892	-175 m/(s^2)	Michael
2	-2122 m^2	1.0817	rat	Human Computer Interaction, Bioengineering	0.3317	basketball	489 mph	-66	1048 m/(s^2)	Eriq
8	1023 m^2	-0.3532	cat	Statistics	1.3941	motor sports	-1003 mph	899	?	Reilly
2	548 m^2	0.5545	rat	Bioengineering	0.0118	basketball	-150 mph	-198	-551 m/(s^2)	Eriq
5	392 m^2	1.2632	ferret	Data Science	-0.0232	volleyball	770 mph	-142	-295 m/(s^2)	Andrew
2	608 m^2	2.6674	rat	Electrical Engineering, Human Computer Interaction	0.8852	basketball	1196 mph	1010	678 m/(s^2)	Eriq
6	873 m^2	0.0691	fish	Robotics Engineering	2.2187	running	839 mph	1156	688 m/(s^2)	Vani
1	386 m^2	-0.5486	rabbit	Natural Language Processing	0.395	baseball	1332 mph	893	136 m/(s^2)	Andrew
1	1424 m^2	-0.0029	rabbit	Computer Game Design		ice hockey	-212 mph	79	1788 m/(s^2)	Inan
2	-282 m^2	1.0119	rat	Human Computer Interaction	2.484	basketball	436 mph	-593	395 m/(s^2)	Eriq
3	-243 m^2	-0.6905	bird	Computational Media	-0.0105	track & field	-132 mph	606	95 m/(s^2)	Tony
8	887 m^2	-0.7927	pig	Statistics	-0.0665	motor sports	1102 mph	607	-7 m/(s^2)	Chris
3	-441 m^2	-0.0749	bird	Computational Media	-1.0955	tennis	176 mph	-317	1699 m/(s^2)	Reilly
6	-983 m^2	-0.5558	fish	Robotics Engineering	0.8679	running	366 mph	979	980 m/(s^2)	Lise
3	-186 m^2	0.515	bird	Computational Media	0.0795	tennis	-486 mph	760	844 m/(s^2)	Tony
3	-456 m^2	0.0898	bird	Computational Media	-0.7172	track & field	989 mph	-18	331 m/(s^2)	Reilly
4	-573 m^2	1.1202	guinea pig	Natural Language Processing	-0.1017	boxing	1065 mph	1175	-377 m/(s^2)	Fabrice
2	1018 m^2	1.5757	rat	Bioengineering	0.6726	basketball	702 mph	-81	125 m/(s^2)	Eriq
1	1150 m^2	0.1644	rabbit	Bioinformatics	-0.6413	ice hockey	873 mph	225	1560 m/(s^2)	Inan
5	47 m^2	1.6493	ferret	Data Science	0.911	volleyball	325 mph	-763	1296 m/(s^2)	Andrew
3	1196 m^2	0.4655	guinea pig	Computational Media	-0.6184	basketball	203 mph	959	1567 m/(s^2)	Lise
1	813 m^2	0.0346	rabbit	Computational Media	0.1202	baseball	1951 mph	364	831 m/(s^2)	Lise
7	1524 m^2	0.5962	cat	Games and Playable Media	0.2784	soccer	926 mph	422	853 m/(s^2)	Lise
8	-135 m^2	1.3224	pig	Statistics	0.1324	soccer	1169 mph	-105	-763 m/(s^2)	Chris
6	2138 m^2	0.8005	fish	Robotics Engineering	1.6772	football	673 mph	-235	-775 m/(s^2)	Vani
6	465 m^2	-0.6309	pig	Robotics Engineering	1.4637	running	857 mph	-84	146 m/(s^2)	Vani
4	-192 m^2	0.1337	GUINEA PIG	Computational Media	2.8904	badminton	251 mph	190	1027 m/(s^2)	Fabrice
9	-397 m^2	0.5813	chicken	Computer Engineering, Technology and Information Management	-0.8378	golf	1844 mph	799	8 m/(s^2)	mICHAEL
6	377 m^2	0.79	bird	Robotics Engineering	-0.4439	football	540 mph	1375	680 m/(s^2)	Vani
1	-275 m^2	0.2919	rabbit	Computer Game Design	2.7379	ice hockey	1235 mph	694	1515 m/(s^2)	Inan
7	882 m^2	0.2171	cat	Games and Playable Media	2.5475	soccer	-91 mph	8	-89 m/(s^2)	Lise
4	1727 m^2	0.5166	guinea pig	Natural Language Processing	0.3536	track & field	636 mph	-533	-46 m/(s^2)	Fabrice
2	109 m^2	1.4436	?	eLECTRICAL eNGINEERING	0.2798	n/a	744 mph	-383	1513 m/(s^2)	Eriq
0	308 m^2	1.1359	hamster	Applied Mathematics	0.7603	boxing	1604 mph	1002	-578 m/(s^2)	Sam
3	-155 m^2	2.6597	bird	Computational Media	0.7695	tennis	-108 mph	339	-655 m/(s^2)	Tony
3	-1241 m^2	1.8433	bird	Computational Media	-0.4999	track & field	11 mph	811	413 m/(s^2)	Tony
9	-468 m^2	-1.0803	rabbit	Computer Science	0.0127	golf	596 mph	610	684 m/(s^2)	Chris
7	867 m^2	0.1149	cat	Games and Playable Media	-0.1964	soccer	185 mph	1318	1757 m/(s^2)	Lise
3	-1433 m^2	0.3294	bird	Computational Media	-0.7113	track & field	1499 mph	420	1548 m/(s^2)	Tony
1	2698 m^2	-0.4025	rabbit	Computer Game Design	1.1201	ice hockey	365 mph	637	-1010 m/(s^2)	Inan
8	1321 m^2	2.0484	pig	Bioinformatics	0.0485	motor sports	470 mph	-691	620 m/(s^2)	Chris
1	646 m^2	-0.3559	rabbit	Computer Game Design	2.9664	ICE HOCKEY	613 mph	148	-20 m/(s^2)	Inan
4	586 m^2	0.0423	guinea pig	Natural Language Processing	-0.2223	badminton	2215 mph	476	-1135 m/(s^2)	Fabrice
0	-298 m^2	0.2423	hamster	Applied Mathematics	1.7094	boxing	1637 mph	-93	-173 m/(s^2)	Sam
3	-2426 m^2	-0.0776	bird	Computational Media	1.1192	track & field	-271 mph	675	1918 m/(s^2)	Reilly
6	2430 m^2	0.5718	fish	Robotics Engineering	0.838	running	-64 mph	-26	316 m/(s^2)	Vani
4	605 m^2	0.2465	guinea pig	Natural Language Processing	1.0809	badminton	612 mph	1503	-595 m/(s^2)	Fabrice
9	397 m^2	-0.491	chicken	Computer Engineering	0.6993	golf	211 mph	2550	-256 m/(s^2)	Michael
9	-236 m^2	0.4624	None	Computer Engineering, Computer Science	-0.8097	golf	320 mph	114	1812 m/(s^2)	MICHAEL
2	420 m^2	2.0406	rat	Human Computer Interaction	-0.1652	volleyball	524 mph	-533	2689 m/(s^2)	Eriq
3	305 m^2	0.6544	bird	Computational Media	-1.2057	tennis	270 mph	1051	1937 m/(s^2)	Reilly
